_id,url,nama_pengguna,title,pertanyaan,teman,total_jawaban,total_tercerdas,terima_kasih,total_tercerdas_matematika,total_tercerdas_ppkn,total_tercerdas_ips,total_tercerdas_biologi,total_tercerdas_fisika,total_tercerdas_sejarah,total_tercerdas_binggris,total_tercerdas_seni,total_tercerdas_kimia,total_tercerdas_geografi,total_tercerdas_ti,total_tercerdas_ekonomi,total_tercerdas_barab,total_tercerdas_daerah,total_tercerdas_penjaskes,total_tercerdas_sosiologi,total_tercerdas_blain,total_tercerdas_wirausaha,total_tercerdas_akuntansi,total_tercerdas_bjepang,total_tercerdas_bmandarin,total_tercerdas_bperancis,total_jawaban_matematika,total_jawaban_ppkn,total_jawaban_ips,total_jawaban_biologi,total_jawaban_fisika,total_jawaban_sejarah,total_jawaban_binggris,total_jawaban_seni,total_jawaban_kimia,total_jawaban_geografi,total_jawaban_ti,total_jawaban_ekonomi,total_jawaban_barab,total_jawaban_bdaerah,total_jawaban_penjaskes,total_jawaban_sosiologi,total_jawaban_blain,total_jawaban_wirausaha,total_jawaban_akuntansi,total_jawaban_bjepang,total_jawaban_bmandarin,total_jawaban_bperancis,total_jawaban_bindonesia,total_tercerdas_bindonesia,total_jawaban_sbmptn,total_tercerdas_sbmptn,poin,tingkat,bergabung
5f679f5d27c9b05b708abdc2,https://brainly.co.id/app/profile/349184,Rachmalia26,"[""Si Hebat""]",9,94,492,70,89,21,8,6,5,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,113,108,37,33,23,20,0,15,0,0,0,0,10,13,0,0,0,0,0,0,0,0,89,14,,,16112,Sekolah Menengah Atas,31 Agustus 2014
5f679f5d27c9b05b708abdc3,https://brainly.co.id/app/profile/595274,Isabella04,"[""Gemar Membantu""]",20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,115,Sekolah Menengah Atas,30 September 2014
5f679f5d27c9b05b708abdc4,https://brainly.co.id/app/profile/1061845,Saffana2311,"[""Si Hebat""]",19,41,267,44,47,1,5,8,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,70,17,9,16,10,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,69,16,,,3628,Sekolah Menengah Atas,15 Januari 2015
5f679f5d27c9b05b708abdc5,https://brainly.co.id/app/profile/30327,Wyhanayuwana,"[""Jenius""]",13,677,1636,229,235,6,41,44,19,15,24,9,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,41,323,325,120,71,170,76,82,0,62,0,0,0,0,0,0,0,0,0,0,0,0,191,27,,,60421,Sekolah Menengah Atas,5 Februari 2014
5f679f5d27c9b05b708abdc6,https://brainly.co.id/app/profile/1150111,wijayanto27,"[""Pemula""]",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,65,Sekolah Menengah Atas,5 Februari 2015
5f679f5d27c9b05b708abdc7,https://brainly.co.id/app/profile/1085015,ShintaD,"[""Si Hebat""]",3,67,268,51,75,2,7,11,6,3,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,46,39,24,31,6,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,,,5573,Sekolah Menengah Atas,21 Januari 2015
5f679f5d27c9b05b708abdc8,https://brainly.co.id/app/profile/1149980,octhaviamillen,"[""Pemula""]",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,74,Sekolah Menengah Atas,5 Februari 2015
5f679f5d27c9b05b708abdc9,https://brainly.co.id/app/profile/113920,Ryn100,"[""Ambisius""]",14,6,16,2,902,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,510,Sekolah Menengah Atas,2 Mei 2014
5f679f5d27c9b05b708abdca,https://brainly.co.id/app/profile/369500,ImmanuelSinaga,"[""Brainly Master"",""BrainlyElite"",""Jenius""]",67,216,4708,767,561,682,5,2,11,24,2,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,0,4115,40,26,74,179,21,0,0,100,18,0,0,0,0,63,0,0,0,0,0,0,0,38,5,,,206061,Sekolah Menengah Atas,2 September 2014
5f679f5d27c9b05b708abdcb,https://brainly.co.id/app/profile/1144624,harvest,"[""Pakar""]",1,6,167,23,29,10,0,2,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,62,14,11,9,10,3,5,0,14,0,0,0,24,0,0,0,0,0,0,0,0,0,8,2,,,2137,Sekolah Menengah Atas,4 Februari 2015
5f679f5d27c9b05b708abdcc,https://brainly.co.id/app/profile/877081,freeyounk,"[""Pemula""]",8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,15,Sekolah Menengah Atas,14 November 2014
5f679f5d27c9b05b708abdcd,https://brainly.co.id/app/profile/1110236,faridm,"[""Pakar""]",0,37,176,25,22,7,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,4,11,16,2,1,0,99,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,,3071,Sekolah Menengah Atas,26 Januari 2015
5f679f5d27c9b05b708abdce,https://brainly.co.id/app/profile/1177179,novianaia5,"[""Gemar Membantu""]",1,1,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,110,Sekolah Menengah Atas,12 Februari 2015
5f679f5d27c9b05b708abdcf,https://brainly.co.id/app/profile/943969,nadiaisnaini94,"[""Ambisius""]",16,11,16,2,84,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,,,,367,Sekolah Menengah Atas,28 November 2014
5f679f5d27c9b05b708abdd0,https://brainly.co.id/app/profile/1185891,audi99,"[""Gemar Membantu""]",4,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,108,Sekolah Menengah Atas,15 Februari 2015
5f679f5d27c9b05b708abdd1,https://brainly.co.id/app/profile/228480,dnnyz07,"[""BrainlyElite"",""Brainly Doctor"",""Jenius""]",161,261,9105,14,922,1154,28,30,18,69,6,11,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,7163,162,254,167,511,69,103,0,282,52,0,0,0,0,0,0,0,0,0,0,0,0,187,21,,,247667,Sekolah Menengah Atas,13 Agustus 2014
5f679f5d27c9b05b708abdd2,https://brainly.co.id/app/profile/80450,maytirtaputri,"[""Si Hebat""]",79,414,1386,181,27,19,13,15,86,6,9,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,171,110,136,640,54,65,21,33,0,57,0,0,0,0,0,0,0,0,0,0,0,0,47,4,,,55709,Sekolah Menengah Atas,31 Maret 2014
5f679f5d27c9b05b708abdd3,https://brainly.co.id/app/profile/921125,DethaViana,"[""Jenius""]",9,597,2530,285,397,128,20,25,21,25,11,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1022,189,242,234,267,122,0,67,37,55,0,0,0,0,0,0,0,0,0,0,0,0,193,30,,,45211,Sekolah Menengah Atas,23 November 2014
5f679f5d27c9b05b708abdd4,https://brainly.co.id/app/profile/1220869,harko07,"[""Jenius""]",9,274,993,73,141,8,6,12,3,29,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,97,99,112,272,39,0,87,23,29,0,0,0,0,0,0,0,0,0,0,0,0,65,7,,,68897,Sekolah Menengah Atas,25 Februari 2015
5f679f5d27c9b05b708abdd5,https://brainly.co.id/app/profile/56532,newbie,"[""Si Hebat""]",2,19,560,79,51,50,0,1,3,21,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,332,10,2,14,150,0,4,0,28,3,0,0,4,0,0,0,0,0,0,0,0,0,9,1,,,8633,Sekolah Menengah Atas,4 Maret 2014
5f679f5d27c9b05b708abdd6,https://brainly.co.id/app/profile/1127543,FadlyHermaja,"[""Brainly Bachelor"",""Jenius""]",0,272,2611,484,499,3,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2594,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,37078,Sekolah Menengah Atas,30 Januari 2015
5f679f5d27c9b05b708abdd7,https://brainly.co.id/app/profile/644564,5dregensleyer,"[""BrainlyProfessor"",""BrainlyElite"",""Jenius""]",154,953,24202,29,4481,2252,115,215,53,0,59,0,0,0,23,0,31,0,0,0,9,0,0,0,0,0,0,15921,1317,2533,497,0,1168,0,0,0,319,0,493,0,0,0,313,0,0,0,0,0,0,498,59,,,539578,Sekolah Menengah Pertama,9 Oktober 2014
5f679f5d27c9b05b708abdd8,https://brainly.co.id/app/profile/1042287,annisa2612,"[""Ambisius""]",117,19,98,7,14,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,13,23,5,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,26,3,,,374,Sekolah Menengah Atas,12 Januari 2015
5f679f5d27c9b05b708abdd9,https://brainly.co.id/app/profile/771198,wiwinwariah,"[""Gemar Membantu""]",11,7,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,108,Sekolah Menengah Atas,28 Oktober 2014
5f679f5d27c9b05b708abdda,https://brainly.co.id/app/profile/929858,brainowl123,"[""Ambisius""]",5,16,116,16,1,0,2,3,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21,23,14,0,0,12,8,4,4,0,0,0,5,0,0,0,0,0,0,0,0,13,1,,,1794,Sekolah Menengah Atas,24 November 2014
5f679f5d27c9b05b708abddb,https://brainly.co.id/app/profile/1008142,whongaliem,"[""Brainly Doctor"",""BrainlyElite"",""Jenius""]",8,354,10388,19,1036,1649,0,0,1,223,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,9097,0,0,11,1100,1,1,0,135,0,2,0,0,0,0,0,0,0,0,0,0,0,4,,0,0,252134,Sekolah Menengah Atas,14 Desember 2014
5f679f5d27c9b05b708abddc,https://brainly.co.id/app/profile/804514,RanshiVM,"[""Jenius""]",0,189,2023,352,257,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,15289,Sekolah Menengah Atas,2 November 2014
5f679f5d27c9b05b708abddd,https://brainly.co.id/app/profile/236458,KevinMardiyan,"[""Gemar Membantu""]",1,1,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,95,Sekolah Menengah Atas,13 Agustus 2014
5f679f5d27c9b05b708abdde,https://brainly.co.id/app/profile/1333022,wibowo1231,"[""Jenius""]",14,118,600,241,158,187,9,4,2,29,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,341,55,41,18,46,27,6,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,36,5,,,37959,Sekolah Menengah Atas,3 April 2015
5f679f5d27c9b05b708abddf,https://brainly.co.id/app/profile/1001547,W17aya,"[""Si Hebat""]",50,417,3328,251,345,16,24,60,9,2,21,0,0,0,88,7,2,0,0,0,0,0,0,0,0,0,0,107,243,742,156,56,249,0,0,0,1414,100,51,0,0,0,0,0,0,0,0,0,0,95,12,,,80931,Sekolah Menengah Atas,11 Desember 2014
5f679f5d27c9b05b708abde0,https://brainly.co.id/app/profile/322354,marlenia16,"[""Si Hebat""]",21,178,1196,138,156,65,13,4,4,6,7,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,392,120,94,35,49,34,0,35,0,0,55,0,0,157,0,0,0,0,0,0,0,0,113,6,,,18508,Sekolah Menengah Atas,27 Agustus 2014
5f679f5d27c9b05b708abde1,https://brainly.co.id/app/profile/1024722,keziacclau,"[""Ambisius""]",51,9,39,1,261,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,123,Sekolah Menengah Atas,6 Januari 2015
5f679f5d27c9b05b708abde2,https://brainly.co.id/app/profile/1290214,is3nk,"[""Terpelajar""]",0,1,30,12,529,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,886,Sekolah Menengah Atas,18 Maret 2015
